n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:83 R:0.999962 G:0.999963 B:0.999969 All:0.999965 (44.541309)
n:84 R:0.999956 G:0.999962 B:0.999968 All:0.999962 (44.196811)
n:85 R:0.999957 G:0.999962 B:0.999968 All:0.999962 (44.224908)
n:86 R:0.999958 G:0.999962 B:0.999966 All:0.999962 (44.184088)
n:87 R:0.999957 G:0.999961 B:0.999968 All:0.999962 (44.245181)
n:88 R:0.999957 G:0.999962 B:0.999967 All:0.999962 (44.240978)
n:89 R:0.999955 G:0.999961 B:0.999967 All:0.999961 (44.105044)
n:90 R:0.999956 G:0.999962 B:0.999967 All:0.999961 (44.134117)
n:91 R:0.999959 G:0.999961 B:0.999967 All:0.999962 (44.216024)
n:92 R:0.999955 G:0.999957 B:0.999966 All:0.999960 (43.933846)
n:93 R:0.999954 G:0.999960 B:0.999966 All:0.999960 (43.973276)
n:94 R:0.999961 G:0.999963 B:0.999967 All:0.999964 (44.401048)
n:95 R:0.999954 G:0.999957 B:0.999966 All:0.999959 (43.913977)
n:96 R:0.999955 G:0.999960 B:0.999966 All:0.999960 (44.021213)
n:97 R:0.999954 G:0.999961 B:0.999967 All:0.999960 (44.030849)
n:98 R:0.999955 G:0.999957 B:0.999966 All:0.999959 (43.922124)
n:99 R:0.999957 G:0.999961 B:0.999966 All:0.999961 (44.122046)
n:100 R:0.999956 G:0.999962 B:0.999965 All:0.999961 (44.117121)
n:101 R:0.999959 G:0.999963 B:0.999966 All:0.999963 (44.294259)
n:102 R:0.999953 G:0.999958 B:0.999966 All:0.999959 (43.881491)
n:103 R:0.999953 G:0.999958 B:0.999966 All:0.999959 (43.905449)
n:104 R:0.999959 G:0.999962 B:0.999966 All:0.999962 (44.251411)
n:105 R:0.999954 G:0.999958 B:0.999965 All:0.999959 (43.865853)
n:106 R:0.999953 G:0.999957 B:0.999965 All:0.999958 (43.780265)
n:107 R:0.999955 G:0.999961 B:0.999966 All:0.999960 (44.019651)
n:108 R:0.999956 G:0.999961 B:0.999966 All:0.999961 (44.119184)
n:109 R:0.999954 G:0.999961 B:0.999966 All:0.999960 (44.022189)
n:110 R:0.999960 G:0.999963 B:0.999966 All:0.999963 (44.288787)
