n:83 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:84 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:85 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:86 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:87 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:88 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:89 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:90 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:91 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:92 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:93 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:94 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:95 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:96 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:97 R:0.999883 G:0.999977 B:0.999825 All:0.999895 (39.788916)
n:98 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:99 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:100 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:101 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:102 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:103 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:104 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:105 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:106 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:107 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:108 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:109 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:110 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:111 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:112 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:113 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:114 R:0.999917 G:0.999987 B:0.999872 All:0.999925 (41.266249)
n:115 R:0.999870 G:0.999947 B:0.999829 All:0.999882 (39.266909)
n:116 R:0.999844 G:0.999939 B:0.999795 All:0.999860 (38.526434)
n:117 R:0.999844 G:0.999939 B:0.999795 All:0.999860 (38.526434)
n:118 R:0.999844 G:0.999939 B:0.999795 All:0.999860 (38.526434)
n:119 R:0.999844 G:0.999939 B:0.999795 All:0.999860 (38.526434)
n:120 R:0.999844 G:0.999939 B:0.999795 All:0.999860 (38.526434)
n:121 R:0.999844 G:0.999939 B:0.999795 All:0.999860 (38.526434)
n:122 R:0.999844 G:0.999939 B:0.999795 All:0.999860 (38.526434)
n:123 R:0.999844 G:0.999939 B:0.999795 All:0.999860 (38.526434)
n:124 R:0.999844 G:0.999939 B:0.999795 All:0.999860 (38.526434)
n:125 R:0.999844 G:0.999939 B:0.999795 All:0.999860 (38.526434)
n:126 R:0.999844 G:0.999939 B:0.999795 All:0.999860 (38.526434)
n:127 R:0.999844 G:0.999939 B:0.999795 All:0.999860 (38.526434)
n:128 R:0.999839 G:0.999939 B:0.999799 All:0.999859 (38.502038)
n:129 R:0.999847 G:0.999944 B:0.999802 All:0.999864 (38.674214)
n:130 R:0.999931 G:0.999979 B:0.999915 All:0.999942 (42.346635)
n:131 R:0.999874 G:0.999961 B:0.999826 All:0.999887 (39.464894)
n:132 R:0.999848 G:0.999928 B:0.999800 All:0.999859 (38.499301)
n:133 R:0.999848 G:0.999936 B:0.999809 All:0.999865 (38.684058)
n:134 R:0.999886 G:0.999965 B:0.999860 All:0.999903 (40.146417)
n:135 R:0.999835 G:0.999920 B:0.999803 All:0.999853 (38.314066)
n:136 R:0.999833 G:0.999934 B:0.999795 All:0.999854 (38.365927)
n:137 R:0.999862 G:0.999936 B:0.999828 All:0.999875 (39.034765)
n:138 R:0.999909 G:0.999980 B:0.999889 All:0.999926 (41.306322)
n:139 R:0.999843 G:0.999928 B:0.999799 All:0.999857 (38.432376)
n:140 R:0.999854 G:0.999932 B:0.999821 All:0.999869 (38.813037)
n:141 R:0.999841 G:0.999915 B:0.999805 All:0.999854 (38.343576)
n:142 R:0.999866 G:0.999948 B:0.999830 All:0.999881 (39.245356)
n:143 R:0.999879 G:0.999956 B:0.999850 All:0.999895 (39.791221)
n:144 R:0.999920 G:0.999978 B:0.999893 All:0.999930 (41.573844)
n:145 R:0.999858 G:0.999949 B:0.999819 All:0.999875 (39.046662)
n:146 R:0.999856 G:0.999958 B:0.999822 All:0.999879 (39.160514)
n:147 R:0.999877 G:0.999948 B:0.999850 All:0.999892 (39.653104)
n:148 R:0.999852 G:0.999933 B:0.999809 All:0.999865 (38.688926)
n:149 R:0.999862 G:0.999936 B:0.999833 All:0.999877 (39.106825)
n:150 R:0.999905 G:0.999975 B:0.999874 All:0.999918 (40.863068)
n:151 R:0.999916 G:0.999978 B:0.999885 All:0.999926 (41.335412)
n:152 R:0.999887 G:0.999966 B:0.999858 All:0.999904 (40.159262)
n:153 R:0.999891 G:0.999968 B:0.999860 All:0.999906 (40.277860)
n:154 R:0.999901 G:0.999964 B:0.999884 All:0.999916 (40.773360)
n:155 R:0.999882 G:0.999937 B:0.999859 All:0.999893 (39.693815)
n:156 R:0.999927 G:0.999978 B:0.999915 All:0.999940 (42.190104)
n:157 R:0.999923 G:0.999977 B:0.999909 All:0.999936 (41.945175)
n:158 R:0.999895 G:0.999946 B:0.999882 All:0.999907 (40.337378)
n:159 R:0.999930 G:0.999974 B:0.999915 All:0.999939 (42.177606)
n:160 R:0.999915 G:0.999966 B:0.999906 All:0.999929 (41.475257)
n:161 R:0.999934 G:0.999983 B:0.999923 All:0.999947 (42.739115)
n:162 R:0.999960 G:0.999988 B:0.999951 All:0.999966 (44.731852)
n:163 R:0.999976 G:0.999993 B:0.999968 All:0.999979 (46.731357)
n:164 R:0.999984 G:0.999995 B:0.999980 All:0.999986 (48.648685)
n:165 R:0.999987 G:0.999996 B:0.999987 All:0.999990 (49.947499)
n:166 R:0.999987 G:0.999994 B:0.999981 All:0.999987 (48.922440)
n:167 R:0.999995 G:0.999995 B:0.999992 All:0.999994 (52.280832)
n:168 R:0.999995 G:0.999996 B:0.999995 All:0.999995 (53.392885)
n:169 R:0.999996 G:0.999996 B:0.999995 All:0.999996 (53.475374)
n:170 R:0.999996 G:0.999995 B:0.999995 All:0.999995 (53.201109)
