n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:83 R:0.989495 G:0.989472 B:0.989444 All:0.989470 (19.775893)
n:84 R:0.989918 G:0.989901 B:0.989879 All:0.989899 (19.956531)
n:85 R:0.989458 G:0.989435 B:0.989398 All:0.989431 (19.759518)
n:86 R:0.989913 G:0.989893 B:0.989868 All:0.989891 (19.953119)
n:87 R:0.990212 G:0.990195 B:0.990171 All:0.990193 (20.084559)
n:88 R:0.989757 G:0.989742 B:0.989705 All:0.989735 (19.886256)
n:89 R:0.989748 G:0.989734 B:0.989715 All:0.989732 (19.885187)
n:90 R:0.989748 G:0.989734 B:0.989715 All:0.989733 (19.885385)
n:91 R:0.989748 G:0.989735 B:0.989715 All:0.989733 (19.885468)
n:92 R:0.989748 G:0.989734 B:0.989715 All:0.989733 (19.885385)
n:93 R:0.989648 G:0.989632 B:0.989619 All:0.989633 (19.843480)
n:94 R:0.989627 G:0.989617 B:0.989610 All:0.989618 (19.837227)
n:95 R:0.988378 G:0.988356 B:0.988333 All:0.988355 (19.338789)
n:96 R:0.988529 G:0.988513 B:0.988493 All:0.988511 (19.397348)
n:97 R:0.988076 G:0.988065 B:0.988053 All:0.988065 (19.231653)
n:98 R:0.988325 G:0.988289 B:0.988275 All:0.988297 (19.316865)
n:99 R:0.988316 G:0.988290 B:0.988264 All:0.988290 (19.314480)
n:100 R:0.988362 G:0.988341 B:0.988329 All:0.988344 (19.334531)
n:101 R:0.988475 G:0.988455 B:0.988428 All:0.988452 (19.375065)
n:102 R:0.988310 G:0.988287 B:0.988249 All:0.988282 (19.311395)
n:103 R:0.987737 G:0.987715 B:0.987687 All:0.987713 (19.105491)
n:104 R:0.986128 G:0.986095 B:0.986068 All:0.986097 (18.568865)
n:105 R:0.987115 G:0.987114 B:0.987091 All:0.987106 (18.896269)
n:106 R:0.987581 G:0.987555 B:0.987520 All:0.987552 (19.049018)
n:107 R:0.987856 G:0.987793 B:0.987725 All:0.987791 (19.133335)
n:108 R:0.984875 G:0.984840 B:0.984817 All:0.984844 (18.194126)
n:109 R:0.985737 G:0.985642 B:0.985548 All:0.985643 (18.429230)
n:110 R:0.987143 G:0.986987 B:0.986880 All:0.987004 (18.861793)
n:111 R:0.989085 G:0.988986 B:0.988837 All:0.988970 (19.574086)
n:112 R:0.986510 G:0.986485 B:0.986091 All:0.986362 (18.652437)
n:113 R:0.991380 G:0.991177 B:0.991191 All:0.991249 (20.579612)
n:114 R:0.992971 G:0.992899 B:0.992685 All:0.992852 (21.458004)
n:115 R:0.994503 G:0.994501 B:0.994481 All:0.994495 (22.592480)
n:116 R:0.994840 G:0.994834 B:0.994826 All:0.994833 (22.868005)
n:117 R:0.994964 G:0.994959 B:0.994953 All:0.994959 (22.974405)
n:118 R:0.994963 G:0.994957 B:0.994950 All:0.994957 (22.973093)
n:119 R:0.994941 G:0.994936 B:0.994928 All:0.994935 (22.954311)
n:120 R:0.994926 G:0.994921 B:0.994914 All:0.994920 (22.941645)
n:121 R:0.994939 G:0.994933 B:0.994926 All:0.994933 (22.952243)
n:122 R:0.994938 G:0.994933 B:0.994925 All:0.994932 (22.951684)
n:123 R:0.994973 G:0.994968 B:0.994960 All:0.994967 (22.981770)
n:124 R:0.995077 G:0.995067 B:0.995056 All:0.995066 (23.068437)
n:125 R:0.995304 G:0.995297 B:0.995276 All:0.995292 (23.271974)
n:126 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:127 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:128 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:129 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:130 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:131 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
