n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:83 R:0.996992 G:0.996990 B:0.999186 All:0.997723 (26.425868)
n:84 R:0.996756 G:0.996757 B:0.998980 All:0.997498 (26.016706)
n:85 R:0.996931 G:0.996930 B:0.999089 All:0.997650 (26.289348)
n:86 R:0.997008 G:0.997006 B:0.999183 All:0.997733 (26.444604)
n:87 R:0.996979 G:0.996974 B:0.999142 All:0.997699 (26.380219)
n:88 R:0.996831 G:0.996825 B:0.999002 All:0.997553 (26.113231)
n:89 R:0.996095 G:0.996098 B:0.998579 All:0.996924 (25.120162)
n:90 R:0.996756 G:0.996755 B:0.999223 All:0.997578 (26.158770)
n:91 R:0.996666 G:0.996663 B:0.999135 All:0.997488 (25.999519)
n:92 R:0.996736 G:0.996733 B:0.999188 All:0.997552 (26.112405)
n:93 R:0.996705 G:0.996701 B:0.999164 All:0.997523 (26.060898)
n:94 R:0.996772 G:0.996769 B:0.999250 All:0.997597 (26.192788)
n:95 R:0.996781 G:0.996782 B:0.999268 All:0.997610 (26.216711)
n:96 R:0.996160 G:0.996159 B:0.998553 All:0.996957 (25.167597)
n:97 R:0.996611 G:0.996609 B:0.998958 All:0.997393 (25.837843)
n:98 R:0.996590 G:0.996589 B:0.998965 All:0.997382 (25.819495)
n:99 R:0.996548 G:0.996546 B:0.998891 All:0.997328 (25.732402)
n:100 R:0.996574 G:0.996574 B:0.998924 All:0.997358 (25.779909)
n:101 R:0.996600 G:0.996598 B:0.998890 All:0.997363 (25.788231)
n:102 R:0.995947 G:0.995948 B:0.997944 All:0.996613 (24.701905)
n:103 R:0.997095 G:0.997093 B:0.999079 All:0.997756 (26.489113)
n:104 R:0.996722 G:0.996717 B:0.998698 All:0.997379 (25.815173)
n:105 R:0.997029 G:0.997028 B:0.999004 All:0.997687 (26.358204)
n:106 R:0.997070 G:0.997066 B:0.999047 All:0.997728 (26.435358)
n:107 R:0.997079 G:0.997078 B:0.999037 All:0.997731 (26.442103)
n:108 R:0.996141 G:0.996140 B:0.998330 All:0.996871 (25.045409)
n:109 R:0.996975 G:0.996953 B:0.999168 All:0.997699 (26.380360)
n:110 R:0.996672 G:0.996684 B:0.998870 All:0.997409 (25.865241)
