n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:83 R:0.989987 G:0.990018 B:0.989777 All:0.989928 (19.968630)
n:84 R:0.989967 G:0.990003 B:0.989770 All:0.989913 (19.962591)
n:85 R:0.989890 G:0.989942 B:0.989721 All:0.989851 (19.935766)
n:86 R:0.989938 G:0.989979 B:0.989734 All:0.989883 (19.949602)
n:87 R:0.989962 G:0.990006 B:0.989780 All:0.989916 (19.963666)
n:88 R:0.989949 G:0.990002 B:0.989778 All:0.989910 (19.960999)
n:89 R:0.989899 G:0.989948 B:0.989695 All:0.989848 (19.934338)
n:90 R:0.989974 G:0.990019 B:0.989758 All:0.989917 (19.964062)
n:91 R:0.990021 G:0.990057 B:0.989812 All:0.989963 (19.984108)
n:92 R:0.989968 G:0.990007 B:0.989733 All:0.989903 (19.958083)
n:93 R:0.990079 G:0.990101 B:0.989817 All:0.989999 (19.999497)
n:94 R:0.990033 G:0.990057 B:0.989785 All:0.989958 (19.981888)
n:95 R:0.990105 G:0.990145 B:0.989892 All:0.990047 (20.020657)
n:96 R:0.990208 G:0.990238 B:0.990012 All:0.990153 (20.066958)
n:97 R:0.990175 G:0.990211 B:0.989996 All:0.990128 (20.055832)
n:98 R:0.990071 G:0.990111 B:0.989884 All:0.990022 (20.009568)
n:99 R:0.990173 G:0.990206 B:0.989973 All:0.990117 (20.051312)
n:100 R:0.990204 G:0.990239 B:0.990010 All:0.990151 (20.066147)
n:101 R:0.990102 G:0.990140 B:0.989922 All:0.990055 (20.023786)
n:102 R:0.990175 G:0.990207 B:0.989973 All:0.990118 (20.051709)
n:103 R:0.990091 G:0.990146 B:0.989920 All:0.990052 (20.022782)
n:104 R:0.990006 G:0.990055 B:0.989815 All:0.989959 (19.982146)
n:105 R:0.990081 G:0.990117 B:0.989880 All:0.990026 (20.011318)
n:106 R:0.989997 G:0.990039 B:0.989822 All:0.989953 (19.979488)
n:107 R:0.989993 G:0.990043 B:0.989811 All:0.989949 (19.977951)
n:108 R:0.989893 G:0.989960 B:0.989742 All:0.989865 (19.941741)
n:109 R:0.989880 G:0.989936 B:0.989729 All:0.989848 (19.934674)
n:110 R:0.989972 G:0.990052 B:0.989856 All:0.989960 (19.982611)
n:111 R:0.989866 G:0.989960 B:0.989755 All:0.989860 (19.939632)
n:112 R:0.989876 G:0.989950 B:0.989739 All:0.989855 (19.937409)
n:113 R:0.989848 G:0.989947 B:0.989749 All:0.989848 (19.934437)
n:114 R:0.989946 G:0.990022 B:0.989841 All:0.989936 (19.972509)
n:115 R:0.989897 G:0.989966 B:0.989740 All:0.989868 (19.942899)
n:116 R:0.990006 G:0.990066 B:0.989862 All:0.989978 (19.990579)
n:117 R:0.990013 G:0.990080 B:0.989884 All:0.989992 (19.996668)
n:118 R:0.990062 G:0.990145 B:0.989920 All:0.990042 (20.018405)
n:119 R:0.990028 G:0.990096 B:0.989905 All:0.990010 (20.004214)
n:120 R:0.990055 G:0.990120 B:0.989937 All:0.990037 (20.016196)
n:121 R:0.989973 G:0.990060 B:0.989884 All:0.989972 (19.987972)
n:122 R:0.990053 G:0.990129 B:0.989963 All:0.990048 (20.021106)
n:123 R:0.990048 G:0.990115 B:0.989944 All:0.990035 (20.015380)
n:124 R:0.990037 G:0.990105 B:0.989929 All:0.990023 (20.010196)
n:125 R:0.990109 G:0.990191 B:0.990020 All:0.990107 (20.046597)
n:126 R:0.990173 G:0.990244 B:0.990094 All:0.990170 (20.074646)
n:127 R:0.990125 G:0.990190 B:0.989988 All:0.990101 (20.044134)
n:128 R:0.990063 G:0.990154 B:0.989946 All:0.990054 (20.023648)
n:129 R:0.990127 G:0.990202 B:0.990057 All:0.990129 (20.056253)
n:130 R:0.990111 G:0.990183 B:0.990043 All:0.990112 (20.049064)
n:131 R:0.990154 G:0.990199 B:0.990019 All:0.990124 (20.054169)
n:132 R:0.990137 G:0.990190 B:0.990010 All:0.990113 (20.049152)
n:133 R:0.990094 G:0.990159 B:0.989962 All:0.990071 (20.031133)
n:134 R:0.990022 G:0.990077 B:0.989897 All:0.989999 (19.999400)
n:135 R:0.989943 G:0.990009 B:0.989860 All:0.989937 (19.972908)
n:136 R:0.989899 G:0.989981 B:0.989803 All:0.989894 (19.954278)
n:137 R:0.989937 G:0.989985 B:0.989793 All:0.989905 (19.958967)
n:138 R:0.989902 G:0.989959 B:0.989769 All:0.989877 (19.946866)
n:139 R:0.989890 G:0.989944 B:0.989750 All:0.989861 (19.940124)
n:140 R:0.989949 G:0.989980 B:0.989789 All:0.989906 (19.959306)
n:141 R:0.989899 G:0.989939 B:0.989706 All:0.989848 (19.934401)
n:142 R:0.989885 G:0.989945 B:0.989736 All:0.989855 (19.937623)
n:143 R:0.989841 G:0.989909 B:0.989714 All:0.989821 (19.923030)
n:144 R:0.989858 G:0.989933 B:0.989743 All:0.989845 (19.933016)
n:145 R:0.989816 G:0.989888 B:0.989656 All:0.989786 (19.908224)
n:146 R:0.989855 G:0.989895 B:0.989668 All:0.989806 (19.916564)
n:147 R:0.989846 G:0.989908 B:0.989693 All:0.989816 (19.920614)
n:148 R:0.989862 G:0.989942 B:0.989745 All:0.989849 (19.935107)
n:149 R:0.989796 G:0.989881 B:0.989667 All:0.989781 (19.906082)
n:150 R:0.989944 G:0.990016 B:0.989811 All:0.989924 (19.966919)
n:151 R:0.989934 G:0.989988 B:0.989784 All:0.989902 (19.957638)
n:152 R:0.990021 G:0.990099 B:0.989914 All:0.990011 (20.004989)
n:153 R:0.989933 G:0.989976 B:0.989777 All:0.989895 (19.954731)
n:154 R:0.989974 G:0.990016 B:0.989797 All:0.989929 (19.969248)
n:155 R:0.990015 G:0.990088 B:0.989868 All:0.989990 (19.995823)
n:156 R:0.990082 G:0.990173 B:0.989987 All:0.990080 (20.035090)
n:157 R:0.990044 G:0.990128 B:0.989904 All:0.990025 (20.011043)
n:158 R:0.990043 G:0.990111 B:0.989902 All:0.990018 (20.008042)
n:159 R:0.990010 G:0.990080 B:0.989863 All:0.989984 (19.993206)
n:160 R:0.990035 G:0.990139 B:0.989932 All:0.990035 (20.015423)
n:161 R:0.989981 G:0.990067 B:0.989852 All:0.989966 (19.985446)
n:162 R:0.989996 G:0.990071 B:0.989819 All:0.989962 (19.983529)
n:163 R:0.989962 G:0.990052 B:0.989845 All:0.989953 (19.979650)
n:164 R:0.989864 G:0.989929 B:0.989749 All:0.989847 (19.934039)
n:165 R:0.989888 G:0.989953 B:0.989757 All:0.989866 (19.942254)
n:166 R:0.989883 G:0.989931 B:0.989743 All:0.989852 (19.936236)
n:167 R:0.989873 G:0.989918 B:0.989737 All:0.989842 (19.932086)
n:168 R:0.989879 G:0.989935 B:0.989736 All:0.989850 (19.935381)
n:169 R:0.989873 G:0.989910 B:0.989768 All:0.989850 (19.935377)
