n:1 R:0.999609 G:0.999893 B:0.999888 All:0.999797 (36.921597)
n:2 R:0.999985 G:0.999982 B:0.999987 All:0.999985 (48.169820)
n:3 R:0.999982 G:0.999991 B:0.999993 All:0.999989 (49.433159)
n:4 R:0.999964 G:0.999985 B:0.999978 All:0.999976 (46.113867)
n:5 R:0.999975 G:0.999987 B:0.999986 All:0.999983 (47.663644)
n:6 R:0.999934 G:0.999956 B:0.999947 All:0.999946 (42.665435)
n:7 R:0.999911 G:0.999960 B:0.999950 All:0.999941 (42.256075)
n:8 R:0.999893 G:0.999964 B:0.999946 All:0.999934 (41.823494)
n:9 R:0.999873 G:0.999906 B:0.999885 All:0.999888 (39.507252)
n:10 R:0.999757 G:0.999965 B:0.999917 All:0.999880 (39.204573)
n:11 R:0.999792 G:0.999916 B:0.999894 All:0.999867 (38.770756)
n:12 R:0.999766 G:0.999927 B:0.999913 All:0.999869 (38.812082)
n:13 R:0.999717 G:0.999948 B:0.999903 All:0.999856 (38.415133)
n:14 R:0.999735 G:0.999939 B:0.999907 All:0.999860 (38.549966)
n:15 R:0.999696 G:0.999881 B:0.999803 All:0.999793 (36.849683)
n:16 R:0.999734 G:0.999913 B:0.999858 All:0.999835 (37.832096)
n:17 R:0.999619 G:0.999882 B:0.999839 All:0.999780 (36.575931)
n:18 R:0.999747 G:0.999936 B:0.999890 All:0.999858 (38.472182)
n:19 R:0.999689 G:0.999918 B:0.999875 All:0.999827 (37.624145)
n:20 R:0.999678 G:0.999937 B:0.999871 All:0.999829 (37.662108)
n:21 R:0.999657 G:0.999898 B:0.999859 All:0.999805 (37.092819)
n:22 R:0.999683 G:0.999867 B:0.999830 All:0.999793 (36.844774)
n:23 R:0.999598 G:0.999918 B:0.999863 All:0.999793 (36.840759)
n:24 R:0.999621 G:0.999873 B:0.999844 All:0.999779 (36.556514)
n:25 R:0.999676 G:0.999921 B:0.999871 All:0.999823 (37.515820)
n:26 R:0.999487 G:0.999895 B:0.999855 All:0.999746 (35.946617)
n:27 R:0.999035 G:0.999290 B:0.999219 All:0.999181 (30.869590)
n:28 R:0.999659 G:0.999895 B:0.999848 All:0.999801 (37.004961)
n:29 R:0.999641 G:0.999893 B:0.999839 All:0.999791 (36.797624)
n:30 R:0.999667 G:0.999912 B:0.999870 All:0.999816 (37.363397)
n:31 R:0.999680 G:0.999874 B:0.999830 All:0.999795 (36.872853)
n:32 R:0.999720 G:0.999933 B:0.999869 All:0.999841 (37.975893)
n:33 R:0.999660 G:0.999928 B:0.999891 All:0.999827 (37.610076)
n:34 R:0.999685 G:0.999834 B:0.999786 All:0.999769 (36.356269)
n:35 R:0.999663 G:0.999857 B:0.999787 All:0.999769 (36.362676)
n:36 R:0.999703 G:0.999887 B:0.999839 All:0.999810 (37.202116)
n:37 R:0.999724 G:0.999864 B:0.999853 All:0.999814 (37.301228)
n:38 R:0.999772 G:0.999860 B:0.999816 All:0.999816 (37.350591)
n:39 R:0.999737 G:0.999888 B:0.999810 All:0.999812 (37.256557)
n:40 R:0.999654 G:0.999955 B:0.999886 All:0.999832 (37.737288)
n:41 R:0.999643 G:0.999934 B:0.999887 All:0.999821 (37.474398)
n:42 R:0.999674 G:0.999948 B:0.999884 All:0.999835 (37.833544)
n:43 R:0.999637 G:0.999921 B:0.999854 All:0.999804 (37.072077)
n:44 R:0.999600 G:0.999893 B:0.999844 All:0.999779 (36.555169)
n:45 R:0.999608 G:0.999951 B:0.999878 All:0.999812 (37.261661)
